,Date,Open,High,Low,Close,Volume,Company
374,31-Jan-18,188.37,189.83,185.22,186.89,43275144,facebook
375,1-Feb-18,188.22,195.32,187.89,193.09,54211293,facebook
376,2-Feb-18,192.04,194.21,189.98,190.28,26677484,facebook
377,5-Feb-18,186.93,190.61,180.61,181.26,33128206,facebook
378,6-Feb-18,178.57,185.77,177.74,185.31,37758505,facebook
379,7-Feb-18,184.15,185.08,179.95,180.18,27601886,facebook
380,8-Feb-18,181.01,181.84,171.48,171.58,38478321,facebook
381,9-Feb-18,174.76,176.9,167.18,176.11,39887626,facebook
382,12-Feb-18,177.06,177.54,171.84,176.41,32092133,facebook
383,13-Feb-18,175.62,175.97,173.1,173.15,21809350,facebook
384,14-Feb-18,173.45,179.81,173.21,179.52,28929704,facebook
385,15-Feb-18,180.5,180.5,176.84,179.96,20922120,facebook
386,16-Feb-18,178.99,179.88,176.3,177.36,21015610,facebook
387,20-Feb-18,175.77,177.95,175.11,176.01,21204921,facebook
388,21-Feb-18,176.71,181.27,176.4,177.91,23200804,facebook
389,22-Feb-18,178.7,180.21,177.41,178.99,18464192,facebook
390,23-Feb-18,179.9,183.39,179.51,183.29,19007288,facebook
391,26-Feb-18,184.58,185.66,183.22,184.93,17599703,facebook
392,27-Feb-18,184.45,184.7,181.46,181.46,15849806,facebook
393,28-Feb-18,182.3,182.88,178.14,178.32,18783039,facebook
394,1-Mar-18,179.01,180.12,174.41,175.94,23201626,facebook
395,2-Mar-18,173.29,177.11,172.99,176.62,20025905,facebook
396,5-Mar-18,176.2,181.15,175.89,180.4,16189280,facebook
397,6-Mar-18,181.78,182.38,179.11,179.78,15086784,facebook
398,7-Mar-18,178.74,183.82,178.07,183.71,19097293,facebook
399,8-Mar-18,183.56,184.4,181.45,182.34,17225946,facebook
400,9-Mar-18,183.91,185.51,183.21,185.23,18526292,facebook
401,12-Mar-18,185.23,186.1,184.22,184.76,15037350,facebook
402,13-Mar-18,185.61,185.99,181.11,181.88,18067477,facebook
